Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,11-Oct-19,2004.45,1931,1995,1925,1989,1986.85,1958.07,12593069,24658143172,327238,6323332,50.21
TCS,EQ,14-Oct-19,1986.85,1995,2032.75,1968,2021,2021,2009.8,3510704,7055809114,154256,1642252,46.78
TCS,EQ,15-Oct-19,2021,2032,2047,2022.7,2037.8,2037.3,2039.28,2261310,4611451970,147982,1390076,61.47
TCS,EQ,16-Oct-19,2037.3,2038,2056,2016,2055,2046.4,2032.41,3034082,6166492280,160140,1792942,59.09
TCS,EQ,17-Oct-19,2046.4,2014,2038,1999.3,2029,2030.95,2018.47,3818774,7708077724,189836,2333221,61.1
TCS,EQ,18-Oct-19,2030.95,2037.5,2063.9,2025,2059,2057.35,2046.03,3087901,6317936211,115810,1979438,64.1
TCS,EQ,22-Oct-19,2057.35,2080,2111.5,2040.05,2050,2051.4,2067.79,5552505,11481414802,236213,3583843,64.54
TCS,EQ,23-Oct-19,2051.4,2060,2083.85,2052.5,2082,2070.1,2068.82,2348134,4857858828,204587,1352785,57.61
TCS,EQ,24-Oct-19,2070.1,2084,2099,2061.3,2079.75,2082,2077.28,2798671,5813617173,156073,1754891,62.7
TCS,EQ,25-Oct-19,2082,2094,2130,2075.05,2121.6,2124.95,2102.55,3954245,8313995116,165203,2535407,64.12
TCS,EQ,27-Oct-19,2124.95,2129,2129,2108.8,2117.65,2115.7,2117.14,224421,475130157.2,13145,76692,34.17
TCS,EQ,29-Oct-19,2115.7,2121.5,2201.7,2121.5,2197.5,2194.85,2173.21,5064173,11005521982,261926,3658144,72.24
TCS,EQ,30-Oct-19,2194.85,2225,2260,2176.85,2258,2252.8,2229.89,5195136,11584598863,180430,3259740,62.75
TCS,EQ,31-Oct-19,2252.8,2250,2284.95,2237,2274.55,2269.65,2267.61,4879261,11064284038,170321,2815579,57.71
TCS,EQ,1-Nov-19,2269.65,2264,2275,2195,2207,2200.9,2218.97,4172620,9258915614,189932,2399676,57.51
TCS,EQ,4-Nov-19,2200.9,2207,2229.2,2180.9,2194.1,2193.95,2197.42,2646411,5815285937,111662,1206343,45.58
TCS,EQ,5-Nov-19,2193.95,2197,2211,2169,2198,2201.85,2187.98,2693475,5893271237,136536,1572121,58.37
TCS,EQ,6-Nov-19,2201.85,2200,2210.8,2179,2190.8,2188.5,2191.37,2540719,5567664863,112401,1426496,56.15
TCS,EQ,7-Nov-19,2188.5,2204.5,2204.5,2175.2,2185,2185.35,2186.08,1915598,4187659921,97328,1082863,56.53
TCS,EQ,8-Nov-19,2185.35,2189.6,2189.6,2124,2130,2129.95,2149.77,2788759,5995204048,110953,1620822,58.12
TCS,EQ,11-Nov-19,2129.95,2135,2139,2091,2100.9,2100.95,2105.79,2983768,6283193792,159080,1728479,57.93
TCS,EQ,13-Nov-19,2100.95,2118,2183.8,2118,2179,2178.6,2161.51,3823365,8264231080,160217,1769830,46.29
TCS,EQ,14-Nov-19,2178.6,2187.5,2200,2146.7,2190,2196.8,2183.42,2995915,6541336935,104976,1188996,39.69
TCS,EQ,15-Nov-19,2196.8,2196,2211.5,2168.75,2174.45,2174.45,2191.82,2724180,5970921736,95061,1528537,56.11
TCS,EQ,18-Nov-19,2174.45,2178.4,2187.75,2148.75,2151,2152.6,2159.1,1611089,3478507913,66947,935177,58.05
TCS,EQ,19-Nov-19,2152.6,2153,2154.65,2105,2110,2108.8,2116.98,2975313,6298664073,119968,1817909,61.1
TCS,EQ,20-Nov-19,2108.8,2121.95,2135,2094.5,2108.15,2108.55,2112.62,2894129,6114194014,119231,1321728,45.67
TCS,EQ,21-Nov-19,2108.55,2112,2126.6,2107.4,2117.4,2118.1,2120.22,2052574,4351898936,90452,1219100,59.39
TCS,EQ,22-Nov-19,2118.1,2097,2107,2060.5,2067.1,2071.7,2079.37,3742049,7781117093,137777,2162742,57.8
TCS,EQ,25-Nov-19,2071.7,2074.55,2084.95,2052.2,2083.5,2081.5,2075.63,2737010,5681024554,118827,1562308,57.08
TCS,EQ,26-Nov-19,2081.5,2089.85,2097.9,2035.05,2046.65,2046.65,2056.29,6561580,13492522425,164453,4970094,75.75
TCS,EQ,27-Nov-19,2046.65,2052,2071.7,2046.55,2055,2054.3,2060.49,2907521,5990929719,108988,2020463,69.49
TCS,EQ,28-Nov-19,2054.3,2067.05,2094.4,2060,2075.9,2077.35,2081.33,2924429,6086706923,142488,1651510,56.47
TCS,EQ,29-Nov-19,2077.35,2085,2085,2045.8,2051.65,2053.25,2055.87,2064271,4243879652,105237,1200921,58.18
TCS,EQ,2-Dec-19,2053.25,2060,2067.7,2016,2021,2021.05,2030.47,3809860,7735797779,159643,2540551,66.68
TCS,EQ,3-Dec-19,2021.05,2027.7,2062,2010,2052.95,2051,2044.01,4664774,9534847755,142334,2674853,57.34
TCS,EQ,4-Dec-19,2051,2053,2082,2045.5,2077,2078.5,2067.16,3334301,6892536518,108026,2056925,61.69
TCS,EQ,5-Dec-19,2078.5,2083,2126.8,2068.35,2120.2,2121.3,2107.54,3902721,8225150032,168163,2093683,53.65
TCS,EQ,6-Dec-19,2121.3,2124,2128,2101,2123.65,2123.6,2116.56,1829461,3872156015,71365,815426,44.57
